,pos,vel,angle,depth,width,res-force
0,0.0,13.35867,1.03041,2.91398,1.0,76395.54006844331
1,1.0,12.08582,1.07722,2.53051,2.0,63297.05094273006
2,1.0,12.09302,2.61952,2.63433,2.0,53146.308108953286
3,1.0,12.09782,0.24605,2.62773,1.0,113389.5275047145
4,1.0,12.14163,0.57011,4.97239,3.0,75160.59821245153
5,1.0,12.15063,2.96459,3.54711,3.0,53037.52485048196
6,1.0,12.15183,1.35147,2.69554,1.0,56961.63766896668
7,1.0,12.17463,0.22084,2.09542,3.0,106894.81227221634
8,1.0,12.19084,1.75715,2.79876,3.0,53933.29026274156
9,1.0,12.19744,2.76955,3.38868,3.0,51948.856377866876
10,1.0,12.19864,1.5141,3.19364,1.0,57921.9835654121
11,1.0,12.20164,0.10802,4.55711,1.0,107591.2167312878
12,1.0,12.20464,1.80816,2.5185,3.0,54123.96997711284
13,1.0,12.23405,0.10562,2.9764,2.0,104269.30271059142
14,1.0,12.24365,2.76295,3.81896,2.0,52693.464403978076
15,1.0,12.24725,2.24985,3.15823,3.0,51976.64188829766
16,1.0,12.25805,1.82436,3.12162,1.0,53673.251358659894
17,1.0,12.32647,0.41048,4.16943,2.0,90314.2731827883
18,1.0,12.33007,2.63033,2.03481,1.0,54650.995133176184
19,1.0,12.36847,1.15583,3.38328,1.0,69840.14666181199
20,1.0,12.37568,1.77035,4.09382,1.0,54591.24490996226
21,1.0,12.38648,0.37808,4.42388,2.0,92417.81141372255
22,1.0,12.39908,0.08582,2.72254,3.0,107917.64826068173
23,1.0,12.47049,2.86917,2.4843,1.0,53685.85624129281
24,1.0,12.4789,2.65073,2.53411,1.0,53028.01105422198
25,1.0,12.5029,0.33127,4.33387,1.0,98912.20649975206
26,1.0,12.57131,0.14103,3.25725,1.0,115351.25893977897
27,1.0,12.62953,0.36307,2.97459,1.0,100451.90194950315
28,1.0,12.65113,2.96519,3.97139,3.0,52475.87878777866
29,1.0,12.66073,1.4751,2.12543,3.0,60395.38777918029
30,1.0,12.68714,0.21124,4.54811,3.0,97281.17073835473
31,1.0,12.72675,0.05941,2.46089,3.0,115111.75532488753
32,1.0,12.73275,1.84477,3.59032,3.0,52072.26284844278
33,1.0,12.78496,1.90958,3.87658,3.0,51470.0825728926
34,1.0,12.78796,2.88718,4.9868,1.0,52456.03306211337
35,1.0,12.79756,2.80196,2.9968,2.0,50988.10179645791
36,1.0,12.89598,1.69414,2.95899,2.0,58202.82909211176
37,1.0,12.91578,1.46549,4.87518,3.0,59540.61716482796
38,1.0,12.96319,2.0188,2.96499,1.0,52037.333059819204
39,1.0,12.9992,2.15383,4.83617,3.0,54618.54035290635
40,1.0,13.0028,1.34187,3.02921,2.0,64248.31233226155
41,1.0,13.04601,0.25145,3.09762,3.0,101349.66947408004
42,1.0,13.06101,2.65433,3.06101,2.0,51730.18632831128
43,1.0,13.14383,2.72274,4.91058,1.0,52103.66060595126
44,1.0,13.14683,0.21544,4.31406,3.0,101465.04877599647
45,1.0,13.15463,0.15903,3.32086,2.0,104180.46978041274
46,1.0,13.15823,0.31206,2.47049,2.0,106248.21663427162
47,1.0,13.17143,2.54031,3.86277,2.0,52366.36033579993
48,1.0,13.17323,1.96179,3.93539,2.0,53056.18923588991
49,1.0,13.17804,2.10702,3.23685,2.0,51084.84877719011
50,1.0,13.19784,1.54831,4.77856,1.0,59304.91951471599
51,1.0,13.20624,2.0128,2.59112,3.0,52695.98144650167
52,1.0,13.27766,2.40348,2.37808,2.0,52313.30474541077
53,1.0,13.28486,0.80236,4.87157,1.0,73614.12096244573
54,1.0,13.30886,1.41028,2.12963,1.0,66537.22329909104
55,1.0,13.32627,0.0114,2.27125,3.0,121484.20259678943
56,1.0,13.33467,1.69714,2.73335,2.0,54974.62891529217
57,1.0,13.38808,1.34427,4.84457,2.0,65177.16181870115
58,1.0,13.40068,0.89718,4.39268,2.0,75431.91888415007
59,1.0,13.40848,1.58972,2.63673,3.0,59025.89667879766
60,1.0,13.46309,0.87377,4.18504,3.0,75514.57976288004
61,1.0,13.4781,0.69974,4.93399,2.0,79185.17430479723
62,1.0,13.4943,1.24825,2.78376,1.0,64796.25921932042
63,1.0,13.4973,1.0124,2.93199,1.0,75036.8671823216
64,1.0,13.57772,2.05841,4.18444,3.0,52771.69228692621
65,1.0,13.60592,1.56571,2.18904,1.0,60645.25829141365
66,1.0,13.61852,1.68094,2.74835,1.0,60321.05539284864
67,1.0,13.65753,0.66373,2.28806,1.0,91736.85858567886
68,1.0,13.75355,1.84657,4.72394,3.0,58103.99025001668
69,1.0,13.78476,0.39788,4.94899,3.0,83930.38976765101
70,1.0,13.83937,2.60272,3.5045,1.0,51464.07127719796
71,1.0,13.86037,1.28726,2.5125,1.0,68594.97259255264
72,1.0,13.87057,2.17544,2.57552,2.0,52623.2049917554
73,1.0,13.88258,2.39388,3.63533,1.0,51195.149220837025
74,1.0,13.89158,1.88738,3.85677,3.0,55793.87331339975
75,1.0,13.89638,2.02781,3.5111,2.0,53701.85752606077
76,1.0,13.95039,2.13043,3.20264,3.0,51461.56243635532
